title,address,tipology,area,monthly_cost
"Extraordinário Apartamento T2 todo remodelado,situado no coração de Lisboa e...","Apartamento para arrendar: Estrela, Lisboa",T2,80 m²,"
                                                                                    1 100 €                                                        /mês                                                                        "
T2 totalmente renovado em São João do Estoril,"Apartamento para arrendar: Cascais e Estoril, Cascais, Lisboa",T2,85 m²,"
                                                                                    980 €                                                        /mês                                                                        "
APARTAMENTO T3 Quinta da MARINHA ( Condomínio ),"Apartamento para arrendar: Cascais e Estoril, Cascais, Lisboa",T3,122 m²,"
                                                                                    3 200 €                                                        /mês                                                                        "
T1 - Alta de Lisboa,"Apartamento para arrendar: Santa Maria Maior, Lisboa",T1,68 m²,"
                                                                                    990 €                                                        /mês                                                                        "
"T1 MOBILADO E EQUIPADO, com um lugar de garagem.","Apartamento para arrendar: Arroios, Lisboa",T1,45 m²,"
                                                                                    1 400 €                                                        /mês                                                                        "
T4+1 na Rua Passos Manuel,"Apartamento para arrendar: Arroios, Lisboa",T4,"128,93 m²","
                                                                                    1 750 €                                                        /mês                                                                        "
T4+1 na Rua Passos Manuel,"Apartamento para arrendar: Arroios, Lisboa",T4,"128,93 m²","
                                                                                    1 750 €                                                        /mês                                                                        "
T2 Mobiliado na Quinta da Gandarinha,"Apartamento para arrendar: Cascais e Estoril, Cascais, Lisboa",T2,102 m²,"
                                                                                    2 300 €                                                        /mês                                                                        "
Apartamento T3 no centro de Lisboa,"Apartamento para arrendar: Penha de França, Lisboa",T3,95 m²,"
                                                                                    1 300 €                                                        /mês                                                                        "
Fantástico Apartamento T4 Mobilado no Estoril em Condomínio,"Apartamento para arrendar: Cascais e Estoril, Cascais, Lisboa",T4,167 m²,"
                                                                                    3 600 €                                                        /mês                                                                        "
"Apartamento T1 Arrendamento em Parque das Nações,Lisboa","Apartamento para arrendar: Parque das Nações, Lisboa",T1,"52,38 m²","
                                                                                    1 100 €                                                        /mês                                                                        "
"Apartamento T2+1 sem móveis, em condomínio fechado, situa...","Apartamento para arrendar: Santa Maria Maior, Lisboa",T2,160 m²,"
                                                                                    2 500 €                                                        /mês                                                                        "
"cond luxo c piscina e jardim,vista mar, t1 mobilado + box","Apartamento para arrendar: Cascais e Estoril, Cascais, Lisboa",T1,70 m²,"
                                                                                    1 400 €                                                        /mês                                                                        "
Excelente Novo T2 mobilado com terraço na Quinta dos Alcoutins,"Apartamento para arrendar: Lumiar, Lisboa",T2,103 m²,"
                                                                                    1 650 €                                                        /mês                                                                        "
Carcavelos - Apartamento T2 mobilado e equipado (SM-2043,"Apartamento para arrendar: Carcavelos e Parede, Cascais, Lisboa",T2,80 m²,"
                                                                                    1 300 €                                                        /mês                                                                        "
T2 Renovado no Bairro Assunção,"Apartamento para arrendar: Cascais e Estoril, Cascais, Lisboa",T2,92 m²,"
                                                                                    1 300 €                                                        /mês                                                                        "
"T1, Arrendamento, Telheiras","Apartamento para arrendar: Carnide, Lisboa",T1,57 m²,"
                                                                                    850 €                                                        /mês                                                                        "
"Apartamento T2 sem móveis, com garagem, situado nas Laran...","Apartamento para arrendar: São Domingos de Benfica, Lisboa",T2,110 m²,"
                                                                                    1 200 €                                                        /mês                                                                        "
"Excelente T2, a estrear, após totalmente remodelado!","Apartamento para arrendar: Alvalade, Lisboa",T2,80 m²,"
                                                                                    1 300 €                                                        /mês                                                                        "
Apartamento T2 Amoreiras Arrendamento,"Apartamento para arrendar: Campolide, Lisboa",T2,"75,10 m²","
                                                                                    2 500 €                                                        /mês                                                                        "
Soberbo Duplex T4 com terraço Av Madrid,"Apartamento para arrendar: Areeiro, Lisboa",T4,170 m²,"
                                                                                    2 650 €                                                        /mês                                                                        "
Luminoso Apartamento T2 para Arrendamento em Alvalade,"Apartamento para arrendar: Alvalade, Lisboa",T2,57 m²,"
                                                                                    1 300 €                                                        /mês                                                                        "
